<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.11.20	0.51880	0.51950	0.51260	0.51370	3440	0	50
2000.11.21	0.51360	0.51450	0.50690	0.50830	3967	0	50
2000.11.22	0.50820	0.52850	0.50790	0.52760	5487	0	50
2000.11.23	0.52770	0.52870	0.51830	0.52310	3966	0	50
2000.11.24	0.52300	0.52440	0.51900	0.52320	3420	0	50
2000.11.26	0.52120	0.52190	0.51960	0.52170	370	0	50
2000.11.27	0.52150	0.52780	0.51900	0.52530	3214	0	50
2000.11.28	0.52540	0.52800	0.52120	0.52690	3910	0	50
2000.11.29	0.52680	0.52780	0.52010	0.52130	3943	0	50
2000.11.30	0.52160	0.53170	0.52080	0.53080	3905	0	50
2000.12.01	0.53090	0.53970	0.53060	0.53770	4080	0	50
2000.12.03	0.53670	0.54010	0.53660	0.53770	470	0	50
2000.12.04	0.53790	0.54780	0.53760	0.54270	4478	0	50
2000.12.05	0.54270	0.54460	0.53880	0.54280	4822	0	50
2000.12.06	0.54310	0.54940	0.54220	0.54870	4690	0	50
2000.12.07	0.54860	0.55140	0.54500	0.54550	4347	0	50
2000.12.08	0.54530	0.54930	0.54340	0.54930	3507	0	50
2000.12.10	0.54440	0.54540	0.54380	0.54490	314	0	50
2000.12.11	0.54510	0.54530	0.53930	0.54130	3489	0	50
2000.12.12	0.54150	0.54380	0.53910	0.54230	4245	0	50
2000.12.13	0.54210	0.54450	0.53720	0.54020	4434	0	50
2000.12.14	0.54010	0.54570	0.53990	0.54500	4436	0	50
2000.12.15	0.54510	0.54770	0.54290	0.54530	3505	0	50
2000.12.17	0.54380	0.54430	0.54210	0.54290	363	0	50
2000.12.18	0.54300	0.54630	0.54020	0.54250	3530	0	50
2000.12.19	0.54240	0.54830	0.54020	0.54680	3357	0	50
2000.12.20	0.54690	0.55430	0.54570	0.55340	3860	0	50
2000.12.21	0.55330	0.55590	0.55130	0.55450	3929	0	50
2000.12.22	0.55460	0.55790	0.55370	0.55710	3005	0	50
2000.12.24	0.55610	0.55690	0.55550	0.55640	58	0	50
2000.12.25	0.55650	0.55830	0.55510	0.55560	337	0	50
2000.12.26	0.55550	0.55990	0.55520	0.55840	1560	0	50
2000.12.27	0.55830	0.55970	0.55520	0.55750	3445	0	50
2000.12.28	0.55760	0.55790	0.55170	0.55430	3026	0	50
2000.12.29	0.55420	0.55910	0.55300	0.55860	2433	0	50
